old_table,new_table,note
tblStockLedger,InvestmentLedger,
List of Month,FinancialMonth,
InterestRate,InterestRate,
Department List,Department,
Currency Input Line,CurrencyDetail,
Obligation List,TaxObligation,
Material Price List,MaterialPrice,
Asset Ledger,AssetLedger,
Liability Ledger,DebtLedger,
Expense Tax Line,ExpenseTaxLine,
InterestDetail,InterestDetail,
Counter Accounts,CounterAccounts,
tblVat,VatEntry,
Material Input Bill,InventoryVoucher,
Account List,ChartOfAccount,
Material List,InventoryItem,
Expence Object Ledger,CostLedger,
ExAsset Bills,AssetExportVoucher,
Expense Object Input Line,CostDetail,
Warehouse List,Warehouse,
Account Balance Entries,ReportItem,
PrevBussiness,PreviousBusinessPeriod,
Material Tax Line,MaterialTaxLine,
tblStockLine,InvestmentDetail,
Asset Or Capital,ReportCategory,
Cash Flow Balance,CashFlowBalance,
Liability Things,DebtType,
Reason List,Reason,
TaxRateList,TaxRate,
AssetTracking,AssetTracking,
Exchange Rate,ExchangeRate,
Material Ledger,InventoryLedger,
tblStockTypes,StockType,
Cost Calculating Book List,CostCalculatingBook,
Currency Liability Line,CurrencyLiabilityLine,
Expense Atribute List,CostElement,
Material Input Line,InventoryVoucherLine,
tblUsers,SystemUser,
Source List,Source,
LiabilityReason,DebtReason,
Currency List,Currency,
Security Table,SecurityPolicy,
Special Value,SpecialValue,
userAccounts,UserAccount,
Account Balance,ReportFormula,
Asset Input Line,AssetDetail,
Asset List,Asset,
General Ledger,GeneralLedger,
Year Cash Flow Balance,CashFlowYearBalance,
Bills,JournalVoucher,
ExMaterial Bills,InventoryExportVoucher,
PrevCash Flow,CashFlowPreviousPeriod,
Customer Input Line,DebtDetail,
ExObject Customer Input Line,CustomerExportLine,
Interest,Interest,
Balance Sheet,TrialBalance,
CategoriesList,Category,
Currency Ledger,CurrencyLedger,
Expense Object List,CostObject,
Depreciation Table,Depreciation,
Liability Due,LiabilityDue,
Origin,ReportSection,
Transaction List,JournalEntry,
Cash Flow List,CashFlowCategory,
AssetTrackingDep,AssetTrackingDepreciation,
Customer List,Partner,
tblStocks,Stock,
Obligation Items,TaxObligationItem,
Account and Obligation Items,AccountTaxObligation,
Business Result Items,BusinessResultItem,
Account And Business Items,AccountBusinessResult,
Cash Flow Items,CashFlowItem,
Account And Cash Flow Items,AccountCashFlowItem,
Cost Calculating Items,CostCalculatingItem,
Account And Cost Calculating Items,AccountCostCalculatingItem,
Dynamic Book List,CustomCostReport,
Dynamic Book And Account,CustomCostReportAccount,
VAT Declare Items,VatDeclareItem,
Account and VAT Declare Items,AccountVatDeclareItem,
VAT3 Tax Items,Vat3TaxItem,
Account and VAT3 Items,AccountVat3Item,
